measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
20,2,MPM,24386,500,0.5,62572,100,10,12494,0.107655
21,2,MPM,24386,500,0.5,62572,100,10,12494,0.107334
22,2,MPM,24386,500,0.5,62572,100,10,12494,0.108412
23,2,MPM,24386,500,0.5,62572,100,10,12494,0.10982
24,2,MPM,24386,500,0.5,62572,100,10,12494,0.107717
25,2,MPM,24386,500,0.5,62572,100,10,12494,0.108563
26,2,MPM,24386,500,0.5,62572,100,10,12494,0.107788
27,2,MPM,24386,500,0.5,62572,100,10,12494,0.107401
28,2,MPM,24386,500,0.5,62572,100,10,12494,0.109303
29,2,MPM,24386,500,0.5,62572,100,10,12494,0.108686
30,2,MPM,24386,500,0.5,62572,100,10,12494,0.107909
1,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269545
2,3,Dinic,149,500,0.5,62468,100,10,12431,0.0271355
3,3,Dinic,149,500,0.5,62468,100,10,12431,0.0270272
4,3,Dinic,149,500,0.5,62468,100,10,12431,0.0270976
5,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269822
6,3,Dinic,149,500,0.5,62468,100,10,12431,0.026829
7,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269965
8,3,Dinic,149,500,0.5,62468,100,10,12431,0.0270614
9,3,Dinic,149,500,0.5,62468,100,10,12431,0.02709
10,3,Dinic,149,500,0.5,62468,100,10,12431,0.0270792
11,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269493
12,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269076
13,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269605
14,3,Dinic,149,500,0.5,62468,100,10,12431,0.0270743
15,3,Dinic,149,500,0.5,62468,100,10,12431,0.0270305
16,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269829
17,3,Dinic,149,500,0.5,62468,100,10,12431,0.0271385
18,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269603
19,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269106
20,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269071
21,3,Dinic,149,500,0.5,62468,100,10,12431,0.0270173
22,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269383
23,3,Dinic,149,500,0.5,62468,100,10,12431,0.0268927
24,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269755
25,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269054
26,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269619
27,3,Dinic,149,500,0.5,62468,100,10,12431,0.0268784
28,3,Dinic,149,500,0.5,62468,100,10,12431,0.0269261
29,3,Dinic,149,500,0.5,62468,100,10,12431,0.0268348
30,3,Dinic,149,500,0.5,62468,100,10,12431,0.0270245
1,3,EK,149,500,0.5,62468,100,10,12431,1.62918
2,3,EK,149,500,0.5,62468,100,10,12431,1.69491
3,3,EK,149,500,0.5,62468,100,10,12431,1.70043
4,3,EK,149,500,0.5,62468,100,10,12431,1.69795
5,3,EK,149,500,0.5,62468,100,10,12431,1.62817
6,3,EK,149,500,0.5,62468,100,10,12431,1.699
7,3,EK,149,500,0.5,62468,100,10,12431,1.62775
8,3,EK,149,500,0.5,62468,100,10,12431,1.69842
9,3,EK,149,500,0.5,62468,100,10,12431,1.69356
10,3,EK,149,500,0.5,62468,100,10,12431,1.63154
11,3,EK,149,500,0.5,62468,100,10,12431,1.69695
12,3,EK,149,500,0.5,62468,100,10,12431,1.70314
13,3,EK,149,500,0.5,62468,100,10,12431,1.63452
14,3,EK,149,500,0.5,62468,100,10,12431,1.63166
15,3,EK,149,500,0.5,62468,100,10,12431,1.69244
16,3,EK,149,500,0.5,62468,100,10,12431,1.69593
17,3,EK,149,500,0.5,62468,100,10,12431,1.69907
18,3,EK,149,500,0.5,62468,100,10,12431,1.69542
19,3,EK,149,500,0.5,62468,100,10,12431,1.69606
20,3,EK,149,500,0.5,62468,100,10,12431,1.63593
21,3,EK,149,500,0.5,62468,100,10,12431,1.62847
22,3,EK,149,500,0.5,62468,100,10,12431,1.69213
23,3,EK,149,500,0.5,62468,100,10,12431,1.69715
24,3,EK,149,500,0.5,62468,100,10,12431,1.69292
25,3,EK,149,500,0.5,62468,100,10,12431,1.69226
26,3,EK,149,500,0.5,62468,100,10,12431,1.69434
27,3,EK,149,500,0.5,62468,100,10,12431,1.69019
28,3,EK,149,500,0.5,62468,100,10,12431,1.62037
29,3,EK,149,500,0.5,62468,100,10,12431,1.69599
