measurement,instance,algorithm,seed,vertices,probability,arcs,max-capacity,max-cpu,result,time
1,30,Dinic,269,150,0.2,2245,100,10,1309,0.000733994
1,1,Dinic,270,150,0.3,3283,100,10,2054,0.00133428
1,2,Dinic,271,150,0.3,3397,100,10,1403,0.000487774
1,3,Dinic,272,150,0.3,3423,100,10,1962,0.00146515
1,4,Dinic,273,150,0.3,3385,100,10,1710,0.000889178
1,5,Dinic,274,150,0.3,3415,100,10,1920,0.00165897
1,6,Dinic,275,150,0.3,3403,100,10,1790,0.00123354
1,7,Dinic,276,150,0.3,3387,100,10,1832,0.000832938
1,8,Dinic,277,150,0.3,3326,100,10,1611,0.00126668
1,9,Dinic,278,150,0.3,3229,100,10,2203,0.0013468
1,10,Dinic,279,150,0.3,3280,100,10,2028,0.0012568
1,11,Dinic,280,150,0.3,3338,100,10,1483,0.00117058
1,12,Dinic,281,150,0.3,3272,100,10,1902,0.00113395
1,13,Dinic,282,150,0.3,3333,100,10,2019,0.00105075
1,14,Dinic,283,150,0.3,3335,100,10,1800,0.000638717
1,15,Dinic,284,150,0.3,3264,100,10,1463,0.00131012
1,16,Dinic,285,150,0.3,3329,100,10,2063,0.00115899
1,17,Dinic,286,150,0.3,3371,100,10,1659,0.000637254
1,18,Dinic,287,150,0.3,3355,100,10,1494,0.000862807
1,19,Dinic,288,150,0.3,3312,100,10,1419,0.00109184
1,20,Dinic,289,150,0.3,3390,100,10,1920,0.00104162
1,21,Dinic,290,150,0.3,3327,100,10,2091,0.00130477
1,22,Dinic,291,150,0.3,3307,100,10,1746,0.00113221
1,23,Dinic,292,150,0.3,3320,100,10,2145,0.000978084
1,24,Dinic,293,150,0.3,3367,100,10,2029,0.00108281
1,25,Dinic,294,150,0.3,3391,100,10,1912,0.000964048
1,26,Dinic,295,150,0.3,3358,100,10,2185,0.000901993
1,27,Dinic,296,150,0.3,3354,100,10,1704,0.00146512
1,28,Dinic,297,150,0.3,3268,100,10,1829,0.0019761
1,29,Dinic,298,150,0.3,3396,100,10,1896,0.00120095
1,30,Dinic,299,150,0.3,3334,100,10,1807,0.00119973
1,1,Dinic,300,150,0.4,4445,100,10,2424,0.00162575
1,2,Dinic,301,150,0.4,4528,100,10,2475,0.00124804
1,3,Dinic,302,150,0.4,4477,100,10,2645,0.000518181
1,4,Dinic,303,150,0.4,4468,100,10,2178,0.00186406
1,5,Dinic,304,150,0.4,4528,100,10,2971,0.0012763
1,6,Dinic,305,150,0.4,4458,100,10,2558,0.000645958
1,7,Dinic,306,150,0.4,4402,100,10,2872,0.00111171
1,8,Dinic,307,150,0.4,4395,100,10,2563,0.00130212
1,9,Dinic,308,150,0.4,4481,100,10,2540,0.00119392
1,10,Dinic,309,150,0.4,4383,100,10,2753,0.000672216
1,11,Dinic,310,150,0.4,4389,100,10,2754,0.00206822
1,12,Dinic,311,150,0.4,4525,100,10,2405,0.00165963
1,13,Dinic,312,150,0.4,4461,100,10,3035,0.00120782
1,14,Dinic,313,150,0.4,4505,100,10,2623,0.00216202
1,15,Dinic,314,150,0.4,4430,100,10,2850,0.00153802
1,16,Dinic,315,150,0.4,4431,100,10,2395,0.000869215
1,17,Dinic,316,150,0.4,4414,100,10,1941,0.00105981
1,18,Dinic,317,150,0.4,4422,100,10,2651,0.00182043
1,19,Dinic,318,150,0.4,4357,100,10,2331,0.000484515
1,20,Dinic,319,150,0.4,4540,100,10,2486,0.00157219
1,21,Dinic,320,150,0.4,4516,100,10,3256,0.00190158
1,22,Dinic,321,150,0.4,4483,100,10,2217,0.000629791
1,23,Dinic,322,150,0.4,4484,100,10,2272,0.00100927
1,24,Dinic,323,150,0.4,4448,100,10,2500,0.000675624
1,25,Dinic,324,150,0.4,4447,100,10,2323,0.00146091
1,26,Dinic,325,150,0.4,4484,100,10,2835,0.00120256
1,27,Dinic,326,150,0.4,4429,100,10,2395,0.00153193
1,28,Dinic,327,150,0.4,4543,100,10,2184,0.000802882
1,29,Dinic,328,150,0.4,4585,100,10,2506,0.000770661
1,30,Dinic,329,150,0.4,4490,100,10,2799,0.000999103
1,1,Dinic,330,150,0.5,5540,100,10,2926,0.000914252
